encoded,original
private_transportati_484350ec,Private transportation excluding gasoline
processed_cheese__20_35ee0293,Processed cheese (2013=100)
processed_meat_3f3eaad6,Processed meat
property_taxes_and_o_831d9757,Property taxes and other special charges
public_transportatio_0311b371,Public transportation
purchase_and_leasing_29ffc06f,Purchase and leasing of passenger vehicles
purchase_and_operati_4d809389,Purchase and operation of recreational vehicles
purchase_of_automobi_d5226cb8,Purchase of automobiles (2013=100)
purchase_of_digital__861d0fde,Purchase of digital media
purchase_of_new_pass_8de2aa5d,Purchase of new passenger vehicles (202204=100)
purchase_of_passenge_fcedd95d,Purchase of passenger vehicles
purchase_of_recreati_3bbfee32,Purchase of recreational vehicles and outboard motors
purchase_of_trucks___b20c122f,"Purchase of trucks, vans and sport utility vehicles (2013=100)"
purchase_of_used_pas_a3e3961e,Purchase of used passenger vehicles (202204=100)
purchase__leasing_an_b768a175,"Purchase, leasing and rental of passenger vehicles"
rail__highway_bus_an_835e7031,"Rail, highway bus and other inter-city transportation"
reading_material__ex_b9718689,Reading material (excluding textbooks)
recreation_b72cc593,Recreation
recreation__educatio_136c2417,"Recreation, education and reading"
recreational_cannabi_4ba15dde,Recreational cannabis (201812=100)
recreational_equipme_8c917a3b,Recreational equipment and services (excluding recreational vehicles)
recreational_service_f6a4fd67,Recreational services
refrigerators_and_fr_5b54f1c5,Refrigerators and freezers
rent_7f41186f,Rent
rental_of_digital_me_60e0c714,Rental of digital media
rental_of_passenger__aaa1cacd,Rental of passenger vehicles
rented_accommodation_c84bf81e,Rented accommodation
rice_and_rice_based__d068f902,Rice and rice-based mixes
roasted_or_ground_co_92ef2b53,Roasted or ground coffee (2013=100)
sauces__condiments_a_d564b941,"Sauces, condiments and dips (2013=100)"
school_textbooks_and_ad526b84,School textbooks and supplies
seafood_and_other_ma_c5d6b5cc,Seafood and other marine products
seeds__plants_and_cu_0ca9ab6c,"Seeds, plants and cut flowers"
semi_durable_goods_c4962f48,Semi-durable goods
services_992a0f05,Services
services_excluding_s_a5b765a2,Services excluding shelter services
services_related_to__0e4d620e,Services related to household furnishings and equipment
shelter_f515a9fb,Shelter
shelter__1986_defini_dc59ed13,Shelter (1986 definition)
shrimps_and_prawns___952178f7,Shrimps and prawns (2013=100)
soup_af086693,Soup
spectator_entertainm_e2724b6b,Spectator entertainment (excluding video and audio subscription services)
sporting_and_exercis_5bb37cd7,Sporting and exercise equipment
stationery__2013_100_002e1c4e,Stationery (2013=100)
sugar_and_confection_87a2d3a7,Sugar and confectionery
sugar_and_syrup_a9ed3b9e,Sugar and syrup
taxi_and_other_local_4f1edfa1,Taxi and other local and commuter transportation services
tea_485c264d,Tea
telephone_equipment__4aa2f934,Telephone equipment (201104=100)
telephone_services_f17e7156,Telephone services
tenants__insurance_p_bc9ca7a2,Tenants' insurance premiums
tenants__maintenance_81017a8e,"Tenants' maintenance, repairs and other expenses"
tobacco_products_and_80a761e1,Tobacco products and smokers' supplies
toiletry_items_and_c_e159d039,Toiletry items and cosmetics
tomatoes_74810820,Tomatoes
tools_and_other_hous_c6983f2b,Tools and other household equipment
toys__games__excludi_0b7271ef,"Toys, games (excluding video games) and hobby supplies"
transportation_a600971f,Transportation
travel_services_fd1639f8,Travel services
travel_tours_3c486893,Travel tours
traveller_accommodat_5605555b,Traveller accommodation
tuition_fees_cafe28f5,Tuition fees
unripened_or_fresh_c_358a061c,Unripened or fresh cheese (2013=100)
upholstered_furnitur_8607fed1,Upholstered furniture
use_of_recreational__5d4a3c9c,Use of recreational facilities and services
vegetables_and_veget_3d0dc6ce,Vegetables and vegetable preparations
video_and_audio_subs_e80ec009,Video and audio subscription services
video_equipment_49a9fb0e,Video equipment
watches_3a481bee,Watches
water_27634ff8,Water
water__fuel_and_elec_de2e50ca,"Water, fuel and electricity"
whole_milk__2013_100_b87c8444,Whole milk (2013=100)
window_coverings_5448536a,Window coverings
wine_purchased_from__4e36ee4f,Wine purchased from stores
wine_served_in_licen_df514045,Wine served in licensed establishments
women_s_clothing_80dbd4fe,Women's clothing
women_s_footwear__ex_08d5a0ea,Women's footwear (excluding athletic)
wooden_furniture_eba0f31b,Wooden furniture
all_items_mom_a01b2ae3,All-items_MoM
all_items_yoy_e9ae604a,All-items_YoY
all_items__1992_100__a0010980,All-items (1992=100)_MoM
all_items__1992_100__229c06d4,All-items (1992=100)_YoY
goods_and_services_m_48108012,Goods and services_MoM
goods_and_services_y_2365660a,Goods and services_YoY
food_mom_1a165df7,Food_MoM
food_yoy_bc56bf0d,Food_YoY
fresh_or_frozen_poul_c49d5b57,Fresh or frozen poultry_MoM
fresh_or_frozen_poul_b34447cf,Fresh or frozen poultry_YoY
fresh_or_frozen_chic_f8786882,Fresh or frozen chicken_MoM
fresh_or_frozen_chic_f554b934,Fresh or frozen chicken_YoY
dairy_products_mom_55c6b82f,Dairy products_MoM
dairy_products_yoy_b79b0d78,Dairy products_YoY
fresh_milk_mom_2e59ba7e,Fresh milk_MoM
fresh_milk_yoy_4bdf08cd,Fresh milk_YoY
butter_mom_8d82ecbe,Butter_MoM
butter_yoy_6f0239d2,Butter_YoY
bakery_and_cereal_pr_190ca622,Bakery and cereal products (excluding baby food)_MoM
bakery_and_cereal_pr_19e1773e,Bakery and cereal products (excluding baby food)_YoY
breakfast_cereal_and_3f09c924,Breakfast cereal and other cereal products (excluding baby food)_MoM
breakfast_cereal_and_05624c68,Breakfast cereal and other cereal products (excluding baby food)_YoY
flour_and_flour_base_143db90d,Flour and flour-based mixes_MoM
flour_and_flour_base_1473208c,Flour and flour-based mixes_YoY
fresh_fruit_mom_5ba1c6a2,Fresh fruit_MoM
fresh_fruit_yoy_9df2b499,Fresh fruit_YoY
apples_mom_167ca5d1,Apples_MoM
apples_yoy_5fd88de4,Apples_YoY
oranges_mom_424e805c,Oranges_MoM
oranges_yoy_30909689,Oranges_YoY
bananas_mom_4c7f2382,Bananas_MoM
bananas_yoy_027ae21d,Bananas_YoY
fresh_vegetables_mom_1b8234f1,Fresh vegetables_MoM
fresh_vegetables_yoy_9b55cdc7,Fresh vegetables_YoY
potatoes_mom_688a07b4,Potatoes_MoM
potatoes_yoy_ce407677,Potatoes_YoY
tomatoes_mom_c4dd48e3,Tomatoes_MoM
tomatoes_yoy_a1e12482,Tomatoes_YoY
lettuce_mom_3bb9c53e,Lettuce_MoM
lettuce_yoy_01bb6a98,Lettuce_YoY
rented_accommodation_4ac34018,Rented accommodation_MoM
rented_accommodation_b8392898,Rented accommodation_YoY
rent_mom_c492a345,Rent_MoM
rent_yoy_db5e9146,Rent_YoY
tenants__insurance_p_a72aaeed,Tenants' insurance premiums_MoM
tenants__insurance_p_2716fb4a,Tenants' insurance premiums_YoY
owned_accommodation__e04aeb30,Owned accommodation_MoM
owned_accommodation__9b83b236,Owned accommodation_YoY
mortgage_interest_co_215edd63,Mortgage interest cost_MoM
mortgage_interest_co_6fbec6bb,Mortgage interest cost_YoY
homeowners__replacem_57388fc2,Homeowners' replacement cost_MoM
homeowners__replacem_f49b623e,Homeowners' replacement cost_YoY
property_taxes_and_o_f57f2249,Property taxes and other special charges_MoM
property_taxes_and_o_166819ab,Property taxes and other special charges_YoY
homeowners__home_and_d3f0d39e,Homeowners' home and mortgage insurance_MoM
homeowners__home_and_34f9ba49,Homeowners' home and mortgage insurance_YoY
homeowners__maintena_e94d6dc1,Homeowners' maintenance and repairs_MoM
homeowners__maintena_f89f8216,Homeowners' maintenance and repairs_YoY
water__fuel_and_elec_af7c86d3,"Water, fuel and electricity_MoM"
water__fuel_and_elec_860d462a,"Water, fuel and electricity_YoY"
electricity_mom_205d0c13,Electricity_MoM
electricity_yoy_36825089,Electricity_YoY
natural_gas_mom_fe1396aa,Natural gas_MoM
natural_gas_yoy_12e115db,Natural gas_YoY
fuel_oil_and_other_f_8251923d,Fuel oil and other fuels_MoM
fuel_oil_and_other_f_d0e6fcf7,Fuel oil and other fuels_YoY
telephone_services_m_bea9616f,Telephone services_MoM
telephone_services_y_d52f8c82,Telephone services_YoY
postal_and_other_com_5816bf8c,Postal and other communications services_MoM
postal_and_other_com_6c2518e4,Postal and other communications services_YoY
furniture_mom_f60b2bca,Furniture_MoM
furniture_yoy_006e1a77,Furniture_YoY
area_rugs_and_mats_m_f7fd35da,Area rugs and mats_MoM
area_rugs_and_mats_y_25e14701,Area rugs and mats_YoY
clothing_and_footwea_8fbfbc52,Clothing and footwear_MoM
clothing_and_footwea_697964b5,Clothing and footwear_YoY
dry_cleaning_service_d3bf875a,Dry cleaning services_MoM
dry_cleaning_service_3a37e53f,Dry cleaning services_YoY
other_clothing_servi_791c6991,Other clothing services_MoM
other_clothing_servi_101920ee,Other clothing services_YoY
transportation_mom_364bbd3e,Transportation_MoM
transportation_yoy_1d0923e4,Transportation_YoY
private_transportati_b5944934,Private transportation_MoM
private_transportati_39f6db12,Private transportation_YoY
purchase_and_leasing_8463050c,Purchase and leasing of passenger vehicles_MoM
purchase_and_leasing_ce65a4d6,Purchase and leasing of passenger vehicles_YoY
purchase_of_passenge_0b34db4b,Purchase of passenger vehicles_MoM
purchase_of_passenge_b8cf41df,Purchase of passenger vehicles_YoY
gasoline_mom_4838435a,Gasoline_MoM
gasoline_yoy_6650d152,Gasoline_YoY
passenger_vehicle_in_be699292,Passenger vehicle insurance premiums_MoM
passenger_vehicle_in_6350ca0c,Passenger vehicle insurance premiums_YoY
local_and_commuter_t_f2fa5cd4,Local and commuter transportation_MoM
local_and_commuter_t_c40ccea1,Local and commuter transportation_YoY
city_bus_and_subway__907ba25b,City bus and subway transportation_MoM
city_bus_and_subway__eeee98d2,City bus and subway transportation_YoY
taxi_and_other_local_3a61385b,Taxi and other local and commuter transportation services_MoM
taxi_and_other_local_eaa6cba9,Taxi and other local and commuter transportation services_YoY
inter_city_transport_85908e71,Inter-city transportation_MoM
inter_city_transport_8a7e6f85,Inter-city transportation_YoY
health_and_personal__fa634aca,Health and personal care_MoM
health_and_personal__4bdd52be,Health and personal care_YoY
health_care_mom_ed4ed468,Health care_MoM
health_care_yoy_7a6c9534,Health care_YoY
dental_care_services_b8e8739d,Dental care services_MoM
dental_care_services_3f7af4d3,Dental care services_YoY
personal_care_mom_847e4bf3,Personal care_MoM
personal_care_yoy_10311132,Personal care_YoY
personal_soap_mom_f0d873c6,Personal soap_MoM
personal_soap_yoy_d7b5116e,Personal soap_YoY
oral_hygiene_product_680d4be1,Oral-hygiene products_MoM
oral_hygiene_product_fb8a16de,Oral-hygiene products_YoY
personal_care_servic_e19f1605,Personal care services_MoM
personal_care_servic_c8f2b0a1,Personal care services_YoY
recreation__educatio_7e0b4ea1,"Recreation, education and reading_MoM"
recreation__educatio_2862bbaf,"Recreation, education and reading_YoY"
recreation_mom_ac4dd8c7,Recreation_MoM
recreation_yoy_0c8d23f0,Recreation_YoY
reading_material__ex_678f7186,Reading material (excluding textbooks)_MoM
reading_material__ex_c86c9ac6,Reading material (excluding textbooks)_YoY
newspapers_mom_8990dac3,Newspapers_MoM
newspapers_yoy_6c2e1485,Newspapers_YoY
alcoholic_beverages__c2d3f204,"Alcoholic beverages, tobacco products and recreational cannabis_MoM"
alcoholic_beverages__7c919e5b,"Alcoholic beverages, tobacco products and recreational cannabis_YoY"
alcoholic_beverages__7f620ca2,Alcoholic beverages_MoM
