encoded,original
cookies_and_sweet_bi_b1885900,Cookies and sweet biscuits (2013=100)_YoY
dry_or_fresh_pasta___59bfa8d5,Dry or fresh pasta (2013=100)_MoM
dry_or_fresh_pasta___c6660b81,Dry or fresh pasta (2013=100)_YoY
pasta_mixes__2013_10_9a9259eb,Pasta mixes (2013=100)_MoM
pasta_mixes__2013_10_a4ac1550,Pasta mixes (2013=100)_YoY
canned_fruit__2013_1_6651ff0c,Canned fruit (2013=100)_MoM
canned_fruit__2013_1_a16322d6,Canned fruit (2013=100)_YoY
jam__jelly_and_other_185751e0,"Jam, jelly and other preserves (2013=100)_MoM"
jam__jelly_and_other_ddab5c86,"Jam, jelly and other preserves (2013=100)_YoY"
dried_and_dehydrated_e544f675,Dried and dehydrated fruit (2013=100)_MoM
dried_and_dehydrated_e72c12aa,Dried and dehydrated fruit (2013=100)_YoY
frozen_fruit__2013_1_95cc591f,Frozen fruit (2013=100)_MoM
frozen_fruit__2013_1_4dd67069,Frozen fruit (2013=100)_YoY
roasted_or_ground_co_290b58b2,Roasted or ground coffee (2013=100)_MoM
roasted_or_ground_co_15bf3115,Roasted or ground coffee (2013=100)_YoY
instant_and_other_co_4fd9658c,Instant and other coffee (2013=100)_MoM
instant_and_other_co_f7616514,Instant and other coffee (2013=100)_YoY
fermented_or_pickled_30069669,Fermented or pickled vegetables (2013=100)_MoM
fermented_or_pickled_9ab41170,Fermented or pickled vegetables (2013=100)_YoY
sauces__condiments_a_84d702e1,"Sauces, condiments and dips (2013=100)_MoM"
sauces__condiments_a_f84d4685,"Sauces, condiments and dips (2013=100)_YoY"
herbs__spices_and_se_f1bdfe7f,"Herbs, spices and seasonings (2013=100)_MoM"
herbs__spices_and_se_883df203,"Herbs, spices and seasonings (2013=100)_YoY"
canned_infant_or_jun_00b42d01,Canned infant or junior foods (2013=100)_MoM
canned_infant_or_jun_390bdf62,Canned infant or junior foods (2013=100)_YoY
infant_formula__2013_4f2a00d1,Infant formula (2013=100)_MoM
infant_formula__2013_00d82e66,Infant formula (2013=100)_YoY
nut_butter__2013_100_9843674b,Nut butter (2013=100)_MoM
nut_butter__2013_100_4b4e1e81,Nut butter (2013=100)_YoY
potato_chips_and_oth_46ef110c,Potato chips and other snack products n.e.c. (2013=100)_MoM
potato_chips_and_oth_d2e2b801,Potato chips and other snack products n.e.c. (2013=100)_YoY
all_other_miscellane_1593a530,All other miscellaneous food preparations (2013=100)_MoM
all_other_miscellane_c28bffee,All other miscellaneous food preparations (2013=100)_YoY
laundry_detergents_a_254d506f,Laundry detergents and soaps (2013=100)_MoM
laundry_detergents_a_8adab9af,Laundry detergents and soaps (2013=100)_YoY
detergents_and_rinse_46ee4989,Detergents and rinse agents for dish washing (2013=100)_MoM
detergents_and_rinse_cb06e13c,Detergents and rinse agents for dish washing (2013=100)_YoY
household_cleaning_a_78111118,Household cleaning and polishing products (2013=100)_MoM
household_cleaning_a_5fb2e1e5,Household cleaning and polishing products (2013=100)_YoY
bleach_and_other_hou_79deecd8,Bleach and other household chemical products (2013=100)_MoM
bleach_and_other_hou_f491c06d,Bleach and other household chemical products (2013=100)_YoY
fabric_softener__201_e9bf45af,Fabric softener (2013=100)_MoM
fabric_softener__201_17a3eb61,Fabric softener (2013=100)_YoY
household_paper_supp_252013e3,Household paper supplies (2013=100)_MoM
household_paper_supp_f2ba326c,Household paper supplies (2013=100)_YoY
stationery__2013_100_18c3bdb3,Stationery (2013=100)_MoM
stationery__2013_100_d455b331,Stationery (2013=100)_YoY
plastic_supplies__20_18c37658,Plastic supplies (2013=100)_MoM
plastic_supplies__20_7928e9dc,Plastic supplies (2013=100)_YoY
foil_supplies__2013__edbad175,Foil supplies (2013=100)_MoM
foil_supplies__2013__04044a53,Foil supplies (2013=100)_YoY
clothing_accessories_97455e9f,Clothing accessories (2013=100)_MoM
clothing_accessories_8da48eaf,Clothing accessories (2013=100)_YoY
purchase_of_automobi_738fd1ac,Purchase of automobiles (2013=100)_MoM
purchase_of_automobi_8e8daadd,Purchase of automobiles (2013=100)_YoY
purchase_of_trucks___58b5e889,"Purchase of trucks, vans and sport utility vehicles (2013=100)_MoM"
purchase_of_trucks___1dc0afe0,"Purchase of trucks, vans and sport utility vehicles (2013=100)_YoY"
prescription_eyeglas_953022eb,Prescription eyeglasses (2013=100)_MoM
prescription_eyeglas_d0acd01f,Prescription eyeglasses (2013=100)_YoY
contact_lenses__2013_40dfc341,Contact lenses (2013=100)_MoM
contact_lenses__2013_8dac5ae3,Contact lenses (2013=100)_YoY
other_eye_care_goods_28399872,Other eye care goods (2013=100)_MoM
other_eye_care_goods_9721303a,Other eye care goods (2013=100)_YoY
creams__lotions_and__1b71f514,"Creams, lotions and cosmetics (2013=100)_MoM"
creams__lotions_and__6e6bec4c,"Creams, lotions and cosmetics (2013=100)_YoY"
perfume_and_cologne__a6536f6c,Perfume and cologne (2013=100)_MoM
perfume_and_cologne__a2927b45,Perfume and cologne (2013=100)_YoY
hair_preparations_an_f6e348f9,Hair preparations and other toilet preparations (2013=100)_MoM
hair_preparations_an_db6624ad,Hair preparations and other toilet preparations (2013=100)_YoY
cellular_services__2_db113197,Cellular services (2017=100)_MoM
cellular_services__2_017d9bc8,Cellular services (2017=100)_YoY
medicinal_cannabis___7f21f644,Medicinal cannabis (201812=100)_MoM
medicinal_cannabis___d4ef34df,Medicinal cannabis (201812=100)_YoY
recreational_cannabi_fa3d600d,Recreational cannabis (201812=100)_MoM
recreational_cannabi_aea4f7dd,Recreational cannabis (201812=100)_YoY
digital_economy_serv_63803beb,Digital economy services (201812=100)_MoM
digital_economy_serv_f2eea43d,Digital economy services (201812=100)_YoY
purchase_of_new_pass_502e8e63,Purchase of new passenger vehicles (202204=100)_MoM
purchase_of_new_pass_1b36f626,Purchase of new passenger vehicles (202204=100)_YoY
purchase_of_used_pas_238b0a1b,Purchase of used passenger vehicles (202204=100)_MoM
purchase_of_used_pas_75d4625e,Purchase of used passenger vehicles (202204=100)_YoY
citrus__excluding_or_80225f25,Citrus (excluding oranges) (202304=100)_MoM
citrus__excluding_or_5daf1ce0,Citrus (excluding oranges) (202304=100)_YoY
grapes__202304_100___6b4abb7a,Grapes (202304=100)_MoM
grapes__202304_100___1fe3012e,Grapes (202304=100)_YoY
berries__including_c_d50d5c84,Berries (including cherries) (202304=100)_MoM
berries__including_c_c74c49f0,Berries (including cherries) (202304=100)_YoY
carrots__202304_100__f21cd20a,Carrots (202304=100)_MoM
carrots__202304_100__4da7814b,Carrots (202304=100)_YoY
onions__202304_100___a7a634e3,Onions (202304=100)_MoM
onions__202304_100___473d31ba,Onions (202304=100)_YoY
peppers__202304_100__9e2ddcbc,Peppers (202304=100)_MoM
peppers__202304_100__1eeb445a,Peppers (202304=100)_YoY
cucumber__202304_100_1c1c63f2,Cucumber (202304=100)_MoM
cucumber__202304_100_69c12fb2,Cucumber (202304=100)_YoY
mushrooms__202304_10_aec76192,Mushrooms (202304=100)_MoM
mushrooms__202304_10_635c8182,Mushrooms (202304=100)_YoY
cellular_services__2_d2db71ec,Cellular services (202304=100)_MoM
cellular_services__2_34260fa5,Cellular services (202304=100)_YoY
fresh_or_frozen_beef_29100adc,Fresh or frozen beef hip cuts (202404=100)_MoM
fresh_or_frozen_beef_d23cf1c4,Fresh or frozen beef hip cuts (202404=100)_YoY
fresh_or_frozen_beef_d6df0869,Fresh or frozen beef loin cuts (202404=100)_MoM
fresh_or_frozen_beef_64716938,Fresh or frozen beef loin cuts (202404=100)_YoY
fresh_or_frozen_beef_6c9fcc8b,Fresh or frozen beef rib cuts (202404=100)_MoM
fresh_or_frozen_beef_8aba1198,Fresh or frozen beef rib cuts (202404=100)_YoY
fresh_or_frozen_beef_6d610f1e,Fresh or frozen beef chuck cuts (202404=100)_MoM
fresh_or_frozen_beef_59400499,Fresh or frozen beef chuck cuts (202404=100)_YoY
fresh_stewing_beef___6db08c50,Fresh stewing beef (202404=100)_MoM
fresh_stewing_beef___4753d877,Fresh stewing beef (202404=100)_YoY
fresh_or_frozen_grou_4613a966,Fresh or frozen ground beef (202404=100)_MoM
fresh_or_frozen_grou_3a43598e,Fresh or frozen ground beef (202404=100)_YoY
other_fresh_or_froze_acbf6894,Other fresh or frozen beef (202404=100)_MoM
other_fresh_or_froze_d880900b,Other fresh or frozen beef (202404=100)_YoY
fresh_or_frozen_pork_88cbeb00,Fresh or frozen pork loin cuts (202404=100)_MoM
fresh_or_frozen_pork_5fab4d45,Fresh or frozen pork loin cuts (202404=100)_YoY
fresh_or_frozen_pork_ecedcd0b,Fresh or frozen pork shoulder cuts (202404=100)_MoM
fresh_or_frozen_pork_21a8525f,Fresh or frozen pork shoulder cuts (202404=100)_YoY
other_fresh_or_froze_df3b95f0,Other fresh or frozen pork (202404=100)_MoM
other_fresh_or_froze_2dc63f0c,Other fresh or frozen pork (202404=100)_YoY
fresh_or_frozen_chic_6b5290cb,Fresh or frozen chicken breasts (202404=100)_MoM
fresh_or_frozen_chic_8fbb0002,Fresh or frozen chicken breasts (202404=100)_YoY
fresh_or_frozen_chic_8c8bd55f,Fresh or frozen chicken thighs (202404=100)_MoM
fresh_or_frozen_chic_53b922e4,Fresh or frozen chicken thighs (202404=100)_YoY
fresh_or_frozen_chic_40a92dcf,Fresh or frozen chicken drumsticks (202404=100)_MoM
fresh_or_frozen_chic_62c5f341,Fresh or frozen chicken drumsticks (202404=100)_YoY
fresh_or_frozen_whol_ce8ebaef,Fresh or frozen whole chicken (202404=100)_MoM
fresh_or_frozen_whol_f2b1da71,Fresh or frozen whole chicken (202404=100)_YoY
other_fresh_or_froze_15cd7b56,Other fresh or frozen chicken (202404=100)_MoM
other_fresh_or_froze_636c60a9,Other fresh or frozen chicken (202404=100)_YoY
